recording_file,sample_mid,is_positive
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,384,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2459,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,475,0
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,1125,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,5562,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9999,0
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11865,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,2065,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2883,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,3000,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7917,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,1832,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,5887,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,487,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,8774,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,925,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,3787,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,5969,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,4102,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7396,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,6613,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,388,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10987,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5991,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,1058,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,8685,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,2583,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,227,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,9284,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,870,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6305,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10230,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7616,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9334,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3959,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,9439,1
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10967,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,280,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,381,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2187,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,9145,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,717,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5788,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8335,0
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,1258,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,7960,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,2461,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5645,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,6904,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11007,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5355,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2151,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,10103,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,5803,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5886,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,320,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,5435,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11086,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11516,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,6959,0
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,213,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,3597,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,7930,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,5814,1
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,5773,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1830,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6908,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,11144,0
ARDG_AQUA bream 340gr 27cm  281025 1415002.csv,828,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,5507,0
ARDG_AQUA bream620 gr31cm  281025 1618004.csv,249,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,979,0
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11657,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,3691,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5025,0
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,25,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,439,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5928,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6620,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,4004,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,8287,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,10427,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,4910,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,8133,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4027,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1935,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9432,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8299,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,4266,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7501,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6020,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,3980,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,7951,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3945,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,10413,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,30,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,8036,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,8758,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10143,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,2616,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5657,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,5182,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8206,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11232,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,5793,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,2641,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,8801,1
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2175,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6980,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,4179,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11721,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10247,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,3159,0
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,31,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,10786,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9450,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,987,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,2431,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11541,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3882,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,5279,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6242,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3224,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,6450,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7908,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,4882,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,5010,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,10768,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3907,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,9784,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11863,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8159,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11586,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,9190,1
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,9079,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,8548,1
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,4237,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5980,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,11491,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,3687,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,21,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,6650,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8273,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10938,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4121,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,666,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,8065,1
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,915,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10785,1
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11684,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,493,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2337,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5196,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,11131,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,10823,0
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,2715,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,2493,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,5072,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,3961,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3910,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8102,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11097,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,1362,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,10659,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,11002,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7471,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5597,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,549,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,2634,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3536,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3616,0
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,1472,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,6559,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,6027,0
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,10500,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8118,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,4864,1
ARDG_AQUA bream556gr 30cm  281025 1500003.csv,1171,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,4340,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,11289,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,9354,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,6256,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,4538,0
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,4939,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,6969,0
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,4286,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,11468,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,8548,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,2542,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,3858,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8627,0
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,5435,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,4980,0
ARDG_AQUA bream350 gr27cm  281025 1548002.csv,5070,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4924,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,3898,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,3282,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,4503,1
ARDG_AQUA bream150gr21cm  281025 1548002.csv,3768,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2286,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,1523,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10346,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,7313,0
ARDG_AQUA bream 800gr 36cm  281025 1453002.csv,4934,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,9159,0
ARDG_AQUA bream 390gr 26cm  281025 1325003.csv,11643,0
ARDG_AQUA bream630gr 32cm  281025 1500002.csv,6025,0
ARDG_AQUA bream500gr 30cm  281025 1500003.csv,1182,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,11781,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,97,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,3628,1
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1857,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8199,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,11581,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,6682,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,8122,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,4032,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9501,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,594,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,9824,1
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,1914,1
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,7145,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,1119,0
ARDG_AQUA bream 340gr 27cm  281025 1415002.csv,644,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,3616,1
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,11534,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,10219,1
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,2660,0
ARDG_AQUA bream 280gr 24cm  281025 1425002.csv,4669,0
ARDG_AQUA bream 390gr 26cm  281025 1325005.csv,11998,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,2707,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,10547,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2110,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,402,0
ARDG_AQUA bream 150gr 21 sm  281025 1132002.csv,9966,0
ARDG_AQUA bream 310gr 23 sm  281025 1233003.csv,863,0
ARDG_AQUA bream 310gr 23 sm  281025 1233002.csv,5694,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,1744,0
ARDG_AQUA bream 310gr 23 sm  281025 1233003.csv,450,1
ARDG_AQUA bream 580gr 30 sm  281025 1254002.csv,3916,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,6071,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,10669,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2051,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,514,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7374,0
ARDG_AQUA bream 680gr 33 sm  281025 1208003.csv,9001,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,651,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,96,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,7553,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,2312,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4347,0
ARDG_AQUA bream 630gr 31cm  281025 1400002.csv,199,0
ARDG_AQUA bream500gr 30cm  281025 1500002.csv,4943,0
ARDG_AQUA bream150gr21cm  281025 1548002.csv,5972,1
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,952,0
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,901,0
ARDG_AQUA bream620 gr31cm  281025 1618003.csv,10627,1
ARDG_AQUA bream556gr 30cm  281025 1500002.csv,4470,0
ARDG_AQUA bream 150gr 21 sm  281025 1132004.csv,7700,0
ARDG_AQUA bream 580gr 30 sm  281025 1254003.csv,5071,0
